Year,Name,POS,Height,Weight,Forty_Yard,Bench_Press,Vert_Leap,Broad_Jump,Shuttle,position_group
1987,Shawn Halloran,QB,76.3,217,5.14,10.0,23.5,94.0,4.53,LB_FB_TE_QB
1987,Jerry Ball,DT,72.1,292,5.14,23.0,24.0,96.0,4.77,lineman
1987,Doug Riesenberg,OT,78.0,261,5.14,21.0,21.5,99.0,4.43,lineman
1987,Loren Snyder,QB,75.6,207,5.15,6.0,26.5,104.0,4.63,LB_FB_TE_QB
1987,Roland Barbay,DE,75.4,259,5.18,13.0,21.5,91.0,4.59,lineman
1987,Chris Gambol,OT,78.5,291,5.2,21.0,27.0,110.0,4.69,lineman
1987,Wally Kleine,DE,80.4,299,5.2,18.0,27.5,99.0,4.74,lineman
1987,Thomas Mchale,DE,76.0,271,5.21,,25.0,,4.61,lineman
1987,John Gesek,OT,76.5,274,5.21,23.0,25.5,107.0,4.87,lineman
1987,Steve Trapilo,OG,76.5,284,5.22,26.0,23.5,97.0,4.91,lineman
1987,Bob Riley,OT,77.0,284,5.22,24.0,24.0,100.0,4.5,lineman
1987,Victor Perry,OT,76.6,281,5.22,,27.5,99.0,4.81,lineman
1987,Tom Welter,OT,76.4,274,5.23,13.0,27.0,87.0,5.04,lineman
1987,Joe Macesker,OT,78.5,286,5.23,22.0,25.5,106.0,5.01,lineman
1987,Dan Morgan,OG,78.3,288,5.25,14.0,25.0,93.0,4.84,lineman
1987,Phil Pettey,OG,75.5,260,5.27,17.0,23.0,100.0,4.54,lineman
1987,Randy Dixon,OG,75.6,292,5.28,24.0,25.0,90.0,5.17,lineman
1987,Mike Simmonds,OG,75.9,281,5.28,27.0,25.5,99.0,4.55,lineman
1987,Ralph Van Dyke,OT,77.8,262,5.28,21.0,24.5,99.0,4.94,lineman
1987,Mark Dennis,OT,78.3,292,5.29,18.0,26.0,97.0,4.71,lineman
1987,Ed Simmons,OT,76.1,292,5.33,24.0,26.5,102.0,4.9,lineman
1987,Chris Conlin,OT,75.4,285,5.33,21.0,23.0,92.0,4.59,lineman
1987,Jeff Zimmerman,OG,75.4,341,5.36,22.0,22.5,,4.83,lineman
1987,Todd Peat,OG,74.0,294,5.37,18.0,26.0,100.0,4.92,lineman
1987,Paul O'Connor,OG,75.0,279,5.39,,24.0,93.0,4.62,lineman
1987,Jeff Bregel,OG,76.3,279,5.4,20.0,28.5,108.0,4.63,lineman
1987,Gregg Rakoczy,C,77.8,290,5.41,15.0,24.5,93.0,4.34,lineman
1987,Kevin Gogan,OG,79.0,310,5.46,,20.5,88.0,4.88,lineman
1987,Dave Croston,OT,76.8,281,5.48,14.0,24.5,92.0,4.76,lineman
1987,Brian Williams,OT,78.9,293,5.48,14.0,22.0,91.0,5.0,lineman
1987,Danny Villa,OT,77.0,309,5.5,21.0,22.5,92.0,4.78,lineman
